sale_month,orders,net_revenue,gross_revenue,profit_margin,avg_ticket_line,mom_growth,yoy_growth,profit_margin_pct
2024-01,696,1141619.59,1151165.12,413184.58999999997,492.38666666666666,,,0.36192843362122046
2024-02,692,1093034.78,1100995.62,359442.06,475.4164450867052,-48584.810000000056,,0.32884777920790403
2024-03,734,1391163.72,1399460.72,526675.48,513.2076839237058,298128.93999999994,,0.37858626733020323
2024-04,697,1093510.32,1102693.04,367080.65,511.858350071736,-297653.3999999999,,0.33569015608375785
2024-05,740,1241235.49,1251459.36,447048.98,481.33685135135136,147725.16999999993,,0.36016451640453817
2024-06,610,942893.79,951548.32,334338.32,495.3959016393443,-298341.69999999995,,0.3545874663147373
2024-07,589,874099.45,882097.9400000001,313004.1,496.97617996604407,-68794.34000000008,,0.3580875150991114
2024-08,700,1168418.79,1176373.57,473265.03,477.95127142857143,294319.3400000001,,0.40504743166617513
2024-09,686,1235120.57,1243442.21,400609.45,489.3798833819242,66701.78000000003,,0.3243484561187415
2024-10,663,1121324.07,1129077.25,375655.71,505.18220211161383,-113796.5,,0.3350108323278925
2024-11,1585,2800972.61,2822098.08,957103.86,512.3656088328075,1679648.5399999998,,0.34170411255824457
2024-12,1653,2565672.2,2584221.54,864156.91,493.8697701149425,-235300.40999999968,,0.3368150108965596
2025-01,696,1071679.77,1080939.02,361085.17,484.84639367816095,-1493992.4300000002,-69939.82000000007,0.33693383052289955
2025-02,657,870745.59,878056.75,302460.71,492.11625570776255,-200934.18000000005,-222289.19000000006,0.3473583024405556
2025-03,717,1190798.66,1201997.67,411916.03,483.85447698744764,320053.06999999995,-200365.06000000006,0.3459157654745766
2025-04,693,1062488.05,1070758.01,374996.47,490.5480230880231,-128310.60999999987,-31022.27000000002,0.3529418236750992
2025-05,699,1033237.5599999999,1039994.89,331199.19,480.17161659513596,-29250.490000000107,-207997.93000000005,0.3205450545177626
2025-06,578,731846.01,739711.18,247342.84,496.1360034602076,-301391.54999999993,-211047.78000000003,0.33797115324848187
2025-07,588,1002254.47,1010253.86,362290.56,518.929693877551,270408.45999999996,128155.02000000002,0.36147562404984834
2025-08,660,913388.33,921449.71,272933.73,462.0174848484848,-88866.14000000001,-255030.46000000008,0.2988145578781371
2025-09,710,1237636.18,1246273.02,407425.86,468.9135352112676,324247.85,2515.6099999998696,0.32919679190374024
2025-10,650,995401.22,1004715.45,343574.89,507.2296461538462,-242234.95999999996,-125922.8500000001,0.3451622150915186
2025-11,1667,2766620.29,2790712.52,950668.14,492.84008998200363,1771219.07,-34352.31999999983,0.34362075035602374
2025-12,1640,2458887.05,2481264.28,867839.47,505.4824451219512,-307733.2400000002,-106785.15000000037,0.3529399489903369
